company,date,era,event_or_metric,category,value,unit,geography,source_url,source_type,confidence
Amazon,1994-07-05,pre_ai_boom,Amazon.com founded,corporate_founding,,,USA,https://www.aboutamazon.com/what-we-do/company-facts,company_website,direct
Amazon/AWS,2006-03-14,pre_ai_boom,Amazon Web Services (S3/EC2) launched,cloud_infrastructure_buildout,,,Global,https://aws.amazon.com/about-aws/,company_blog,direct
Amazon/AWS,2011-00-00,pre_ai_boom,Global region expansion accelerates,data_center_expansion,,,Global,https://aws.amazon.com/about-aws/global-infrastructure/,company_website,direct
Amazon,2019-09-19,pre_ai_boom,Climate Pledge co-founded; net-zero 2040 target,power_energy_commitments,2040,net_zero_target_year,Global,https://www.theclimatepledge.com/,company_commitment,direct
Amazon,2020-12-31,pre_ai_boom,Property & equipment additions (cash flow),capex_trend,57.98,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,sec_filing_10k,direct
Amazon,2021-12-31,pre_ai_boom,Property & equipment additions (cash flow),capex_trend,72.33,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,sec_filing_10k,direct
Amazon,2022-12-31,pre_ai_boom,Property & equipment additions (cash flow),capex_trend,60.84,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json,sec_filing_10k,direct
Amazon/AWS,2023-00-00,ai_boom,Custom AI chips Trainium/Inferentia scale for ML workloads,ai_ml_infrastructure,,,Global,https://aws.amazon.com/ai/machine-learning/trainium/,company_website,direct
Amazon,2023-09-25,ai_boom,Amazon invests up to $4B in Anthropic,ai_ml_infrastructure,4,USD_billion,USA,https://www.aboutamazon.com/news/company-news/amazon-anthropic-ai-investment,press_release,direct
Amazon,2024-00-00,ai_boom,Reported annual capex surge tied to AWS/AI infrastructure,capex_trend,83,USD_billion,Global,https://ir.aboutamazon.com/news-release/news-release-details/2025/Amazon-com-Announces-Fourth-Quarter-Results/,earnings_release,direct
Amazon/AWS,2025-00-00,current,"AWS global infrastructure: 39 regions, 123 AZs (announced plans for more)",data_center_expansion,39,regions,Global,https://aws.amazon.com/about-aws/global-infrastructure/,company_website,direct
Amazon/AWS,2024-03-04,ai_boom,Talen Energy expands nuclear PPA with Amazon at Susquehanna,nuclear_renewables_ppa,960,MW,Pennsylvania USA,https://ir.talenenergy.com/news-releases/news-release-details/talen-energy-expands-nuclear-energy-relationship-amazon,press_release,direct
Amazon,2025-00-00,ai_boom,Signatory to pledge supporting tripling global nuclear capacity (CERAWeek),public_policy_regulatory,,,Global,https://www.esgdive.com/news/amazon-google-meta-join-pledge-to-triple-global-nuclear-capacity-ceraweek/742470/,industry_news,direct
Microsoft,1975-04-04,pre_ai_boom,Microsoft founded,corporate_founding,,,USA,https://www.microsoft.com/en-us/about,company_website,direct
Microsoft/Azure,2010-02-01,pre_ai_boom,Microsoft Azure general availability,cloud_infrastructure_buildout,,,Global,https://azure.microsoft.com/,company_website,direct
Microsoft,2019-07-22,pre_ai_boom,OpenAI partnership; $1B investment announced,ai_ml_infrastructure,1,USD_billion,USA,https://blogs.microsoft.com/blog/2019/07/22/openai-forms-exclusive-computing-partnership-with-microsoft-to-build-new-azure-ai-supercomputing-technologies/,company_blog,direct
Microsoft,2020-01-16,pre_ai_boom,Carbon negative by 2030 commitment,power_energy_commitments,2030,carbon_negative_target_year,Global,https://blogs.microsoft.com/blog/2020/01/16/microsoft-will-be-carbon-negative-by-2030/,company_blog,direct
Microsoft,2021-06-30,pre_ai_boom,Payments to acquire PP&E (annual capex),capex_trend,20.62,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,sec_filing_10k,direct
Microsoft,2022-06-30,pre_ai_boom,Payments to acquire PP&E (annual capex),capex_trend,23.89,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,sec_filing_10k,direct
Microsoft,2023-06-30,ai_boom,Payments to acquire PP&E (annual capex),capex_trend,28.11,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,sec_filing_10k,direct
Microsoft,2023-02-07,ai_boom,Bing/Copilot AI integration announced (post-ChatGPT),ai_ml_infrastructure,,,Global,https://blogs.microsoft.com/blog/2023/02/07/reinventing-search-with-a-new-ai-powered-microsoft-bing-and-edge-your-copilot-for-the-web/,company_blog,direct
Microsoft,2024-06-30,ai_boom,Payments to acquire PP&E (annual capex),capex_trend,44.48,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,sec_filing_10k,direct
Microsoft,2024-09-20,ai_boom,Constellation Energy PPA to restart Three Mile Island Unit 1 for Microsoft,nuclear_renewables_ppa,835,MW,Pennsylvania USA,https://www.world-nuclear-news.org/articles/constellation-to-restart-three-mile-island-unit-powering-microsoft,industry_news,direct
Microsoft,2025-06-30,current,Payments to acquire PP&E (annual capex),capex_trend,64.55,USD_billion,Global,https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json,sec_filing_10k,direct
